street,city,state,postal_code,country
6399 Justin Ramp Apt. 020,Lopezbury,Ohio,51437,Hong Kong
3220 Emily Streets Apt. 264,Jonesville,Wisconsin,57378,Bhutan
94825 Maria Harbors Apt. 155,East Katrinastad,Maryland,06130,Palau
94003 Steele Valley Suite 584,Jeffland,Maine,68197,Bouvet Island (Bouvetoya)
02819 Acosta Stravenue,Ericachester,Wisconsin,75220,Venezuela
4185 Nicholson Lakes,Lake Gabrielle,Vermont,36593,Lebanon
9611 Joseph Mountain Apt. 146,Lisaberg,New York,06328,Georgia
06148 Roberts Point,South Dianaview,Hawaii,90800,Saint Helena
7405 Brian Shoals Apt. 293,Lake Katie,Oregon,64994,Kenya
37169 Mccoy Cliffs Apt. 873,West Shawnchester,Kansas,06313,Syrian Arab Republic
8810 Smith Loaf Apt. 588,Allisonville,New Hampshire,91468,Kyrgyz Republic
83674 Jonathan Island Apt. 723,Justinfurt,Colorado,82000,Benin
6542 Jacob Springs Suite 986,Bryanmouth,Wyoming,47141,Burundi
4810 Kyle Trail Suite 193,Faulknermouth,Arkansas,98259,British Indian Ocean Territory (Chagos Archipelago)
39801 Murphy Parks,Lake Todd,Iowa,41133,Antarctica (the territory South of 60 deg S)
459 Michael Glens,Jenniferton,Alabama,19003,Namibia
5134 Hansen Crest,West Michael,Florida,80498,Bahrain
90773 Jacqueline Mountain,Port Margaretbury,Virginia,64656,French Polynesia
3669 Luis Station Apt. 167,Taylormouth,New York,77208,Netherlands Antilles
42680 Shannon Harbor,Haneyshire,California,75499,Indonesia
692 Nicole Key Suite 961,Tylerfurt,New Mexico,19186,Madagascar
8279 Parker Mill Suite 491,Lake Andrew,Arizona,42465,United Kingdom
4333 Morse Mountains Apt. 882,Horneshire,Florida,97307,Mali
113 Hawkins Way Suite 044,Fullerfurt,Nevada,74225,Mali
5889 Sparks Port Apt. 586,Lake Josephshire,Nevada,15933,Bulgaria
0291 Christina Hills,West Jonathan,Oregon,73924,Hungary
1868 Julie Club Suite 877,West Christopher,Missouri,76779,Liechtenstein
93868 Andrews Rapids Apt. 077,Michaelview,Louisiana,28896,Italy
402 Caroline Road,Port Tonya,Mississippi,12669,Chad
75245 Craig Estate Suite 350,Andreaville,New Jersey,17507,Korea
29797 Amy Trail,East Joshua,Arkansas,62752,Central African Republic
922 Juarez Shoals,Jamesfurt,Rhode Island,04026,Zimbabwe
4616 Brown Court,South Robertchester,Minnesota,52895,Palau
82005 Hannah River,Manuelmouth,Missouri,13216,Brazil
591 Roberts Inlet,Robertsborough,Maine,04116,Liechtenstein
4439 Bryan Knolls Suite 534,New Cesarmouth,Kentucky,17409,American Samoa
64973 Kyle Fords,Simonside,Arizona,10066,Sri Lanka
0762 John Street Apt. 380,North Matthewstad,Iowa,28563,Lesotho
4665 Laura Lane Suite 496,Toniside,Nevada,29246,Benin
3141 Michelle Points Apt. 659,Port Patricialand,Delaware,59344,Kyrgyz Republic
84450 Graham Lights Suite 469,Port Alexisburgh,Montana,80692,Nigeria
826 Johnson Circles,Maryfurt,Kentucky,18738,Qatar
16135 Kimberly Hill Suite 300,Heatherland,Illinois,16655,Lebanon
9656 Anthony Rue Suite 145,East Pamelabury,New Mexico,34327,Norfolk Island
961 Lamb Drive,Hullmouth,California,56398,Guam
302 Hansen Spring,Littleport,Louisiana,18568,Madagascar
15782 Bartlett Parks Suite 449,East William,West Virginia,13952,Nauru
496 Brown Spurs Suite 444,Shortfurt,Hawaii,73701,Barbados
8510 Megan Ford,Hickston,Rhode Island,62356,Philippines
12481 Joseph Wells,West Sarahbury,Minnesota,55481,Bermuda
